title,id,release_date,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,movie_id,start_year,genres,count,release_year,release_month
The Man Who Knew Infinity,67,"Apr 29, 2016",10000000,3877922,12382122,0.3877922,1.2382122,tt0787524,2015,"['Biography', 'Drama']",1,2016,Apr 
The Meddler,58,"Apr 22, 2016",3200000,4267219,5526942,1.3335059375,1.727169375,tt4501454,2015,"['Comedy', 'Drama', 'Romance']",1,2016,Apr 
The Opposite Sex,48,"Jan 20, 2015",3300000,0,50206,0.0,0.015213939393939394,tt2796678,2014,['Comedy'],1,2015,Jan 
The Outrageous Sophie Tucker,77,"Jul 24, 2015",500000,0,0,0.0,0.0,tt2825768,2014,['Documentary'],1,2015,Jul 
The Perfect Host,84,"Jul 1, 2011",1000000,48764,51587,0.048764,0.051587,tt1334553,2010,"['Comedy', 'Crime', 'Thriller']",1,2011,Jul 
The Place Beyond the Pines,67,"Mar 29, 2013",15000000,21403519,47011449,1.4269012666666667,3.1340966,tt1817273,2012,"['Crime', 'Drama', 'Thriller']",1,2013,Mar 
The Promise,78,"Apr 21, 2017",90000000,8224288,10551417,0.09138097777777777,0.11723796666666667,tt4776998,2016,"['Drama', 'History']",1,2017,Apr 
The Railway Man,33,"Apr 11, 2014",18000000,4438438,23910210,0.24657988888888888,1.328345,tt2058107,2013,"['Biography', 'Drama', 'Romance']",1,2014,Apr 
The Reluctant Fundamentalist,42,"Apr 26, 2013",15000000,528731,528731,0.03524873333333333,0.03524873333333333,tt2032557,2012,"['Drama', 'Thriller']",1,2013,Apr 
The Resurrection of Gavin Stone,26,"Jan 20, 2017",2000000,2303792,2303792,1.151896,1.151896,tt4902904,2016,"['Comedy', 'Drama', 'Family']",1,2017,Jan 
The Rise of the Krays,50,"Feb 2, 2016",2500000,0,0,0.0,0.0,tt2945796,2015,"['Crime', 'Drama']",1,2016,Feb 
The Sapphires,3,"Mar 22, 2013",9000000,2450867,20395040,0.27231855555555556,2.2661155555555554,tt1673697,2012,"['Biography', 'Comedy', 'Drama']",1,2013,Mar 
The Sisterhood of Night,94,"Apr 10, 2015",1000000,6870,6870,0.00687,0.00687,tt1015471,2014,"['Drama', 'Mystery', 'Thriller']",1,2015,Apr 
The Sweeney,53,"Mar 1, 2013",4500000,26345,8000366,0.005854444444444444,1.777859111111111,tt0857190,2012,"['Action', 'Crime', 'Drama']",1,2013,Mar 
The Wall,29,"May 12, 2017",3000000,1803064,4495262,0.6010213333333333,1.4984206666666666,tt6060874,2016,['Drama'],1,2017,May 
The Water Diviner,4,"Apr 24, 2015",22500000,4200117,31054727,0.18667186666666666,1.3802100888888889,tt3007512,2014,"['Drama', 'History', 'War']",1,2015,Apr 
The Word,33,"Mar 14, 2014",200000,3648,3648,0.01824,0.01824,tt2338341,2013,['Drama'],1,2014,Mar 
They Will Have to Kill Us First,16,"Mar 4, 2016",600000,0,7943,0.0,0.013238333333333333,tt4333662,2015,['Documentary'],1,2016,Mar 
Thoroughbreds,47,"Mar 9, 2018",5000000,3072605,3187302,0.614521,0.6374604,tt5649108,2017,"['Comedy', 'Crime', 'Drama']",1,2018,Mar 
Tiger Orange,99,"Jul 7, 2015",100000,0,0,0.0,0.0,tt2866824,2014,['Drama'],1,2015,Jul 
Time to Choose,22,"Jun 3, 2016",3500000,29233,29233,0.008352285714285715,0.008352285714285715,tt5001130,2015,['Documentary'],1,2016,Jun 
Top Spin,61,"Aug 21, 2015",150000,5858,5858,0.039053333333333336,0.039053333333333336,tt4219836,2014,['Documentary'],1,2015,Aug 
Tracker,4,"Dec 31, 2011",6500000,0,3149,0.0,0.0004844615384615385,tt1414378,2010,"['Action', 'Adventure', 'Drama']",1,2011,Dec 
Trash,46,"Oct 9, 2015",12000000,17484,6553186,0.001457,0.5460988333333333,tt1921149,2014,"['Adventure', 'Crime', 'Drama']",1,2015,Oct 
Trolljegeren,17,"Jun 10, 2011",3500000,253444,5706638,0.07241257142857142,1.630468,tt1740707,2010,"['Drama', 'Fantasy', 'Horror']",1,2011,Jun 
Trust,43,"Apr 1, 2011",4000000,120016,120016,0.030004,0.030004,tt1529572,2010,"['Crime', 'Drama', 'Thriller']",1,2011,Apr 
Two Lovers and a Bear,75,"Jan 31, 2017",6840000,0,22273,0.0,0.0032562865497076025,tt4412528,2016,"['Adventure', 'Drama', 'Romance']",1,2017,Jan 
Under the Skin,42,"Apr 4, 2014",13300000,2614251,7229933,0.19656022556390979,0.543603984962406,tt1441395,2013,"['Drama', 'Horror', 'Sci-Fi']",1,2014,Apr 
Underworld: Blood Wars,91,"Jan 6, 2017",35000000,30353973,81209222,0.8672563714285715,2.320263485714286,tt3717252,2016,"['Action', 'Adventure', 'Fantasy']",1,2017,Jan 
Unfriended,14,"Apr 17, 2015",1000000,32789645,64364198,32.789645,64.364198,tt3713166,2014,"['Horror', 'Mystery', 'Thriller']",1,2015,Apr 
Unhinged,30,"Sep 30, 2019",29000000,0,0,0.0,0.0,tt4788744,2018,['Thriller'],1,2019,Sep 
United Passions,6,"Jun 5, 2015",30000000,918,168832,3.06e-05,0.005627733333333333,tt2814362,2014,"['Drama', 'History', 'Sport']",1,2015,Jun 
Upside Down,4,"Mar 15, 2013",50000000,102118,26387039,0.00204236,0.52774078,tt1374992,2012,"['Drama', 'Fantasy', 'Romance']",1,2013,Mar 
Vessel,71,"Jan 9, 2015",800000,0,0,0.0,0.0,tt3311588,2014,"['Adventure', 'Biography', 'Documentary']",1,2015,Jan 
Viy,54,"Jun 30, 2015",26000000,0,34246770,0.0,1.3171834615384614,tt1224378,2014,"['Adventure', 'Fantasy', 'Mystery']",1,2015,Jun 
Walter,96,"Mar 13, 2015",700000,0,0,0.0,0.0,tt3558672,2014,"['Documentary', 'Family', 'History']",1,2015,Mar 
Water & Power,12,"May 2, 2014",600000,42557,42557,0.07092833333333333,0.07092833333333333,tt2052015,2013,"['Crime', 'Drama']",1,2014,May 
We Need to Talk About Kevin,43,"Jan 13, 2012",7000000,1738692,10765283,0.24838457142857143,1.5378975714285714,tt1242460,2011,"['Drama', 'Mystery', 'Thriller']",1,2012,Jan 
While We're Young,45,"Mar 27, 2015",10000000,7582065,17503828,0.7582065,1.7503828,tt1791682,2014,"['Comedy', 'Drama', 'Mystery']",1,2015,Mar 
Wonder Woman,55,"Jun 2, 2017",150000000,412563408,821133378,2.75042272,5.47422252,tt4283448,2016,"['Documentary', 'Drama', 'Sport']",1,2017,Jun 
Wuthering Heights,30,"Oct 5, 2012",8000000,100915,2721534,0.012614375,0.34019175,tt1181614,2011,"['Drama', 'Romance']",1,2012,Oct 
Yi ge ren de wu lin,20,"Apr 24, 2015",25000000,129115,129115,0.0051646,0.0051646,tt2952602,2014,"['Action', 'Drama']",1,2015,Apr 
Yip Man 3,20,"Jan 22, 2016",36000000,2679437,157300954,0.07442880555555556,4.369470944444444,tt2888046,2015,"['Action', 'Biography', 'Drama']",1,2016,Jan 
Your Sister's Sister,73,"Jun 15, 2012",120000,1597486,3090593,13.312383333333333,25.754941666666667,tt1742336,2011,"['Comedy', 'Drama']",1,2012,Jun 
Zhuo yao ji,81,"Jan 22, 2016",56000000,32766,359495591,0.0005851071428571429,6.419564125,tt3781476,2015,"['Action', 'Adventure', 'Comedy']",1,2016,Jan 
