primary_name,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,averagerating,numvotes,count,total_production_budget,total_domestic_gross,total_worldwide_gross
Angus Sampson,50000000.0,103804407.0,170857676.0,2.07608814,3.41715352,6.3,5788.0,1,50000000,103804407,170857676
Anil Kulchainiya,9500000.0,12391761.0,294654618.0,1.3043958947368421,31.01627557894737,4.1,20.0,1,9500000,12391761,294654618
Anil Sharma,17000000.0,1361045.0,7265283.0,0.08006147058823529,0.42736958823529414,4.7,747.0,1,17000000,1361045,7265283
Anirban Roy,20000000.0,20919166.0,29870801.0,1.0459583,1.49354005,6.5,408.0,1,20000000,20919166,29870801
Anna Boden,91500000.0,216444790.0,564847250.0,1.616372327142857,3.623306660714286,7.05,210904.0,2,183000000,432889580,1129694500
Anna Foerster,35000000.0,30353973.0,81209222.0,0.8672563714285715,2.320263485714286,5.8,62942.0,1,35000000,30353973,81209222
Anna Peräaho,25000000.0,8114270.0,29206732.0,0.3245708,1.16826928,5.4,17.0,1,25000000,8114270,29206732
Anna Sofie Hartmann,8300000.0,2160710.0,2598224.0,0.2603265060240964,0.3130390361445783,5.6,67.0,1,8300000,2160710,2598224
Anne Fletcher,37500000.0,35857208.0,43483093.0,0.9581805589285715,1.1686335964285715,5.449999999999999,39212.5,2,75000000,71714416,86966186
Anne Wild,30000000.0,87044645.0,106030660.0,2.9014881666666668,3.5343553333333335,5.7,37.0,1,30000000,87044645,106030660
Anoop Raj,50000000.0,20534907.0,42002029.0,0.41069814,0.84004058,3.6,12.0,1,50000000,20534907,42002029
Anoosh Tertzakian,10000000.0,4073448.0,9263940.0,0.4073448,0.926394,7.4,25.0,1,10000000,4073448,9263940
Anthony Deveney,130000000.0,101200044.0,352831065.0,0.7784618769230769,2.7140851153846155,6.5,12.0,1,130000000,101200044,352831065
Anthony Hemingway,58000000.0,49876377.0,50365498.0,0.8599375344827587,0.8683706551724137,5.9,31815.0,1,58000000,49876377,50365498
Anthony Nardolillo,5500000.0,35811509.0,36672493.0,6.5111834545454546,6.667726,4.9,150.0,1,5500000,35811509,36672493
Anthony Russo,240000000.0,448882263.0,1300868500.6666667,1.8076596505620914,5.196585234980392,8.033333333333333,640228.3333333334,3,720000000,1346646789,3902605502
Anthony Stacchi,60000000.0,50837305.0,111946251.0,0.8472884166666667,1.86577085,6.8,50763.0,1,60000000,50837305,111946251
Antoine Fuqua,64400000.0,89679460.0,162583459.2,1.4741149423953825,2.6789676976623378,6.94,200801.0,5,322000000,448397300,812917296
Antoine Raimbault,12500000.0,6797696.0,11826980.0,0.54381568,0.9461584,7.0,234.0,1,12500000,6797696,11826980
Antoinette Beumer,9000000.0,13960394.0,36588512.0,1.5511548888888889,4.065390222222222,6.8,1952.0,1,9000000,13960394,36588512
Anton Corbijn,42000000.0,36785210.0,69617716.5,1.0762383003448277,2.130645824626437,6.325,41996.25,4,168000000,147140840,278470866
Antoni Cimolino,10000000.0,3039190.5,4774669.5,0.5193521388888889,0.8029636388888889,7.6,14.0,2,20000000,6078381,9549339
Antonis Sotiropoulos,21000000.0,21731001.0,36882378.0,1.0348095714285714,1.7563037142857143,5.1,895.0,1,21000000,21731001,36882378
Anurag Basu,9200000.0,1685269.0,17155193.0,0.18318141304347826,1.8646948913043477,6.1,11353.0,1,9200000,1685269,17155193
